x_tracker_1;y_tracker_1;z_tracker_1;x_tracker_2;y_tracker_2;z_tracker_2;x_tracker_3;y_tracker_3;z_tracker_3;x_tracker_4;y_tracker_4;z_tracker_4;data_on_treadmill
0.11416113376617432;0.23236298561096191;-0.005323529243469238;-0.13958173990249634;0.2168675661087036;0.01121056079864502;0;;;;;;
0.11408758163452148;0.23229753971099854;-0.005156874656677246;-0.1395166516304016;0.2166692018508911;0.011083245277404785;0;;;;;;
0.1141558289527893;0.23228132724761963;-0.005312442779541016;-0.13942784070968628;0.21690452098846436;0.010892748832702637;0;;;;;;
0.11389583349227905;0.23206686973571777;-0.004911184310913086;-0.13936573266983032;0.21685266494750977;0.011010050773620605;0;;;;;;
0.11422187089920044;0.23223042488098145;-0.005121827125549316;-0.13950592279434204;0.21671319007873535;0.011028051376342773;0;;;;;;
0.11425381898880005;0.23216283321380615;-0.005190491676330566;-0.13945400714874268;0.21685540676116943;0.010818004608154297;0;;;;;;
0.1143084168434143;0.23246216773986816;-0.005477190017700195;-0.1394963264465332;0.21681904792785645;0.010796070098876953;0;;;;;;
0.11429935693740845;0.2323760986328125;-0.00572049617767334;-0.13942694664001465;0.21679437160491943;0.0108872652053833;0;;;;;;
0.11418533325195312;0.23232722282409668;-0.005546212196350098;-0.13952094316482544;0.21676301956176758;0.010950207710266113;0;;;;;;
0.11407232284545898;0.23223888874053955;-0.005091547966003418;-0.1392020583152771;0.2165365219116211;0.010676026344299316;0;;;;;;
0.11442232131958008;0.23223185539245605;-0.005498051643371582;-0.13938921689987183;0.21662914752960205;0.010886788368225098;0;;;;;;
0.11417275667190552;0.2323768138885498;-0.005398273468017578;-0.13933998346328735;0.21657943725585938;0.01077425479888916;0;;;;;;
0.11421960592269897;0.23236286640167236;-0.005366683006286621;-0.13925236463546753;0.2166820764541626;0.010725855827331543;0;;;;;;
0.11422204971313477;0.23235225677490234;-0.005364060401916504;-0.13937300443649292;0.2166450023651123;0.0110243558883667;0;;;;;;
0.11427110433578491;0.23243200778961182;-0.005246758460998535;-0.13944721221923828;0.21655356884002686;0.010908842086791992;0;;;;;;
0.11437374353408813;0.23242557048797607;-0.005431413650512695;-0.13921892642974854;0.21660327911376953;0.010648369789123535;0;;;;;;
